scenario,tag,relaxation,status,seconds,objective,dual_bound,mip_gap,nodes
base,最少架次/lex0,False,0,0.02686159999575466,18.0,18.0,0.0,1
base,最少架次/lex1,False,0,0.0280598999815993,59.13313308089388,59.13313308089387,1.2015983235457534e-16,1
base,最少架次/lex2,False,0,0.015733500011265278,32.77651678227691,32.77651583450661,2.8916138414532127e-08,1
base,最小能耗/lex1,False,0,0.012855700042564422,59.03577746310043,59.03577746310043,0.0,1
base,最小能耗/lex0,False,0,0.18695319996913895,19.0,19.0,0.0,1
base,最小能耗/lex2,False,0,0.02171140001155436,34.44048875202748,34.44048875202748,0.0,0
base,最短累计时间/lex2,False,0,0.025433800008613616,32.77651678227691,32.77651678227691,0.0,1
base,最短累计时间/lex1,False,0,0.02356510004028678,59.13313308089388,59.13313307504308,9.894285027623092e-11,1
base,最短累计时间/lex0,False,0,0.028874200012069196,18.0,18.0,0.0,1
base,global-LP-N,True,0,0.0030091999797150493,16.394444444444446,0.0,0.0,0
base,global-LP-E_kWh,True,0,0.0028634999762289226,57.35801831580177,0.0,0.0,0
base,global-LP-T_s,True,0,0.0026359999901615083,30.054056478554386,0.0,0.0,0
base,Pareto-N-upper-bound,False,0,0.1299635999603197,-19.000000000000007,-19.000000000000007,0.0,1
base,eps-N18-i0-LP,True,0,0.003089600009843707,57.358018315801765,0.0,0.0,0
base,eps-N18-i0-IP/lex1,False,0,0.028232199954800308,59.13313308089388,59.13313308089387,1.2015983235457534e-16,1
base,eps-N18-i0-IP/lex0,False,0,0.017983300029300153,18.0,18.0,0.0,1
base,eps-N18-i0-IP/lex2,False,0,0.015806399984285235,32.77651678227691,32.77651583450661,2.8916138414532127e-08,1
base,eps-N18-i1-LP,True,0,0.003099300025496632,57.35801831580177,0.0,0.0,0
base,eps-N18-i1-IP/lex1,False,2,0.028109800012316555,,,,0
base,eps-N19-i0-LP,True,0,0.002934299991466105,57.358018315801765,0.0,0.0,0
base,eps-N19-i0-IP/lex1,False,0,0.021531100035645068,59.03577746310043,59.03577746310043,0.0,1
base,eps-N19-i0-IP/lex0,False,0,0.017794399987906218,19.0,19.0,0.0,1
base,eps-N19-i0-IP/lex2,False,0,0.021910699957516044,34.44048875202748,34.44048875202748,0.0,0
base,eps-N19-i1-LP,True,0,0.003308200044557452,57.35801831580177,0.0,0.0,0
base,eps-N19-i1-IP/lex1,False,0,0.07564210001146421,59.13313308089388,59.13313308089388,0.0,1
base,eps-N19-i1-IP/lex0,False,0,0.02887189999455586,17.99999999999994,17.99999999999994,0.0,1
base,eps-N19-i1-IP/lex2,False,0,0.021595199999865144,32.77651678227691,32.77651678227691,0.0,1
base,eps-N19-i2-LP,True,0,0.003115299972705543,57.35801831580177,0.0,0.0,0
base,eps-N19-i2-IP/lex1,False,2,0.028823199972976,,,,0
base,vertex-d0.33333-0,False,0,0.024819399986881763,215.31325440475487,215.31325440475487,0.0,1
base,vertex-d0.33333-1,False,0,0.015158900001551956,313.2624825397896,313.2624825397896,0.0,1
base,vertex-d0.33333-2,False,0,0.02804519998608157,117.08106664278313,117.08106664278313,0.0,1
base,vertex-d0.33333-3,False,0,0.02473850001115352,312.9795229128524,312.9795229128524,0.0,1
base,vertex-d0.33333-4,False,0,0.026809200004208833,116.79810701584601,116.79810701584601,0.0,1
base,vertex-d0.33333-5,False,0,0.015745999990031123,214.74733515088064,214.74733515088064,0.0,1
base,minimax-d0.33333,False,0,0.03089599998202175,0.0,0.0,0.0,1
base,minimax-d0.33333/Pareto-tie,False,0,0.02574999997159466,645.0908843334533,645.0908843334533,0.0,1
rho=0.300000000,vertex-d0.33333-0,False,0,0.04791970003861934,244.47667923978332,244.47667923978332,0.0,1
rho=0.300000000,vertex-d0.33333-1,False,0,0.03282490000128746,354.79127228033724,354.79127228033724,0.0,1
rho=0.300000000,vertex-d0.33333-2,False,0,0.0708269999595359,132.75340576643856,132.75340576643856,0.0,1
rho=0.300000000,vertex-d0.33333-3,False,0,0.0380388000048697,354.4830968546723,354.4830968546723,0.0,1
rho=0.300000000,vertex-d0.33333-4,False,0,0.04134080000221729,132.42214548594765,132.42214548594765,0.0,1
